Date,Open,High,Low,Close,Adj Close,Volume
9/21/2018,630,647.599976,584.299988,625.150024,593.83197,22977379
9/24/2018,618.900024,626.25,595.650024,607.700012,577.256165,11242914
9/25/2018,609,609,575,601,570.891785,10985624
9/26/2018,605,614.150024,598,608.900024,578.396057,8647720
9/27/2018,611.200012,620.75,607.400024,611.549988,580.913269,8239542
9/28/2018,612,612,575,581.25,552.131226,13027007
10/1/2018,580,585.799988,557.5,583.200012,553.983582,6972949
10/3/2018,584,594.400024,576.200012,579.599976,550.563843,7217063
10/4/2018,576.75,587.75,570,582.299988,553.128601,7629840
10/5/2018,580,586,562.299988,568,539.544983,7868967
10/8/2018,567,569.950012,544,559.799988,531.755737,9171048
10/9/2018,560,583.900024,554.549988,572.5,543.81958,7734434
10/10/2018,573.150024,587.799988,573.150024,583.650024,554.411011,7153314
10/11/2018,557,564,549.049988,555.150024,527.338745,10401643
10/12/2018,560.799988,578.799988,558.099976,576.5,547.619141,5733407
10/15/2018,578.25,579.450012,566.5,570,541.444763,4100183
10/16/2018,571.099976,584,569.599976,572.799988,544.104492,5660568
10/17/2018,578.049988,579.5,552.099976,554.650024,526.863831,5020576
10/19/2018,553,562.599976,545,554.950012,527.148804,7718196
10/22/2018,559,561.200012,541.549988,544.75,517.459717,5101951
10/23/2018,540,550,535.150024,545.599976,518.26709,4634688
10/24/2018,552,554.599976,541.400024,550.049988,522.494202,4219617
10/25/2018,544.700012,550.599976,540,545.75,518.409668,4467859
10/26/2018,547.599976,561.599976,541.099976,551.549988,523.919067,6099413
10/29/2018,556.5,575.5,552.299988,573.700012,544.959473,5738313
10/30/2018,571.25,572,563.099976,564.5,536.220337,4015319
10/31/2018,554.950012,557.799988,529.349976,553.849976,526.103821,14070333
11/1/2018,555.799988,563.900024,554,556.599976,528.716064,5469057
11/2/2018,561,582.400024,560.650024,574.049988,545.291931,7979457
11/5/2018,574,583.599976,567.5,577.450012,548.521606,4535856
11/6/2018,579.599976,584.400024,570,575.75,546.906738,3910274
11/7/2018,581,582.25,579,580.25,551.181335,413871
11/9/2018,579.349976,579.349976,568.450012,572.200012,543.534607,4348716
11/12/2018,573.549988,589.700012,572.150024,582.849976,553.651062,8120996
11/13/2018,583,591.5,579.099976,589.200012,559.682922,7626487
11/14/2018,605,610.599976,584.299988,589.099976,559.587952,21649289
